Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,11894,11894,11894,10422,10422,10422,1349,1349,1349,Admin,,
2020-12-14,US,USA,United States,3613,15507,7754,3494,13916,6958,4,1353,677,Admin,,
2020-12-15,US,USA,United States,48810,64317,21439,45390,59306,19769,23,1376,459,Admin,,
2020-12-16,US,USA,United States,157257,221574,55394,150419,209725,52431,186,1562,391,Admin,,
2020-12-17,US,USA,United States,269259,490833,98167,258480,468205,93641,472,2034,407,Admin,,
2020-12-18,US,USA,United States,408257,899090,149848,397105,865310,144218,531,2565,428,Admin,,
2020-12-19,US,USA,United States,178134,1077224,153889,173614,1038924,148418,678,3243,463,Admin,,
2020-12-20,US,USA,United States,101600,1178824,166704,99491,1138415,161142,444,3687,334,Admin,,
2020-12-21,US,USA,United States,373143,1551967,219494,364945,1503360,212778,697,4384,433,Admin,,
2020-12-22,US,USA,United States,439808,1991775,275351,430784,1934144,267834,1839,6223,692,Admin,,
2020-12-23,US,USA,United States,556766,2548541,332424,544866,2479010,324184,1547,7770,887,Admin,,
2020-12-24,US,USA,United States,190872,2739413,321226,185339,2664349,313735,872,8642,944,Admin,,
2020-12-25,US,USA,United States,11878,2751291,264600,11792,2676141,258690,33,8675,873,Admin,,
2020-12-26,US,USA,United States,136144,2887435,258602,133724,2809865,252992,294,8969,818,Admin,,
2020-12-27,US,USA,United States,91151,2978586,257109,89317,2899182,251538,277,9246,794,Admin,,
2020-12-28,US,USA,United States,564981,3543567,284514,551279,3450461,278157,2071,11317,990,Admin,,
2020-12-29,US,USA,United States,693551,4237118,320763,673106,4123567,312775,2572,13889,1095,Admin,,
2020-12-30,US,USA,United States,811070,5048188,357092,788830,4912397,347627,4813,18702,1562,Admin,,
2020-12-31,US,USA,United States,407004,5455192,387968,396076,5308473,377732,1491,20193,1650,Admin,,
2021-01-01,US,USA,United States,39219,5494411,391874,37808,5346281,381449,751,20944,1753,Admin,,
2021-01-02,US,USA,United States,244260,5738671,407319,237857,5584138,396325,1823,22767,1971,Admin,,
2021-01-03,US,USA,United States,124516,5863187,412086,118882,5703020,400548,1871,24638,2199,Admin,,
2021-01-04,US,USA,United States,614915,6478102,419219,561750,6264770,402044,40852,65490,7739,Admin,,
2021-01-05,US,USA,United States,773749,7251851,430676,681041,6945811,403178,80032,145522,18805,Admin,,
2021-01-06,US,USA,United States,955120,8206971,451255,777651,7723462,401581,161107,306629,41132,Admin,,
2021-01-07,US,USA,United States,1095391,9302362,549596,815798,8539260,461541,261750,568379,78312,Admin,,
2021-01-08,US,USA,United States,1158017,10460379,709424,796730,9335990,569958,342162,910541,127085,Admin,,
2021-01-09,US,USA,United States,475216,10935595,742418,348747,9684737,585800,121242,1031783,144145,Admin,,
2021-01-10,US,USA,United States,229644,11165239,757436,162106,9846843,591975,65356,1097139,153214,Admin,,
2021-01-11,US,USA,United States,1000669,12165908,812544,679453,10526296,608789,304704,1401843,190908,Admin,,
2021-01-12,US,USA,United States,1170834,13336742,869270,856531,11382827,633859,296719,1698562,221863,Admin,,
2021-01-13,US,USA,United States,1243003,14579745,910396,973223,12356050,661798,253864,1952426,235114,Admin,,
2021-01-14,US,USA,United States,1234695,15814440,930297,1098468,13454518,702180,123008,2075434,215294,Admin,,
2021-01-15,US,USA,United States,1173292,16987732,932479,1056715,14511233,739320,106091,2181525,181569,Admin,,
2021-01-16,US,USA,United States,607293,17595025,951347,540829,15052062,766761,62372,2243897,173159,Admin,,
2021-01-17,US,USA,United States,278950,17873975,958391,241802,15293864,778146,35662,2279559,168917,Admin,,
2021-01-18,US,USA,United States,800535,18674510,929800,592781,15886645,765764,202989,2482548,154386,Admin,,
2021-01-19,US,USA,United States,1253567,19928077,941619,919466,16806111,774755,320325,2802873,157759,Admin,,
2021-01-20,US,USA,United States,1517837,21445914,980881,1116480,17922591,795220,385590,3188463,176577,Admin,,
2021-01-21,US,USA,United States,1525971,22971885,1022492,1268973,19191564,819578,240466,3428929,193356,Admin,,
2021-01-22,US,USA,United States,1518583,24490468,1071819,1322197,20513761,857504,181670,3610599,204153,Admin,,
2021-01-23,US,USA,United States,846319,25336787,1105966,707052,21220813,881250,129859,3740458,213794,Admin,,
2021-01-24,US,USA,United States,360288,25697075,1117586,283456,21504269,887201,73610,3814068,219216,Admin,,
2021-01-25,US,USA,United States,1258000,26955075,1182938,811596,22315865,918460,433557,4247625,252154,Admin,,
2021-01-26,US,USA,United States,1550643,28505718,1225377,1016447,23332312,932314,517193,4764818,280278,Admin,,
2021-01-27,US,USA,United States,1799140,30304858,1265563,1195609,24527921,943619,582480,5347298,308405,Admin,,
2021-01-28,US,USA,United States,1816557,32121415,1307076,1306799,25834720,949022,494945,5842243,344759,Admin,,
2021-01-29,US,USA,United States,1772518,33893933,1343352,1304358,27139078,946474,439223,6281466,381552,Admin,,
2021-01-30,US,USA,United States,946124,34840057,1357610,723984,27863062,948893,212632,6494098,393377,Admin,,
2021-01-31,US,USA,United States,416275,35256332,1365608,307989,28171051,952397,104761,6598859,397827,Admin,,
2021-02-01,US,USA,United States,1194028,36450360,1356469,688607,28859658,934828,491625,7090484,406123,Admin,,
2021-02-02,US,USA,United States,1541742,37992102,1355198,905630,29765288,918997,621247,7711731,420988,Admin,,
2021-02-03,US,USA,United States,1959582,39951684,1378118,1194094,30959382,918780,747367,8459098,444543,Admin,,
2021-02-04,US,USA,United States,2134779,42086463,1423578,1308210,32267592,918982,810719,9269817,489653,Admin,,
2021-02-05,US,USA,United States,2175393,44261856,1481132,1288965,33556557,916783,871115,10140932,551352,Admin,,
2021-02-06,US,USA,United States,1200907,45462763,1517529,806749,34363306,928606,385116,10526048,575993,Admin,,
2021-02-07,US,USA,United States,410722,45873485,1516736,264821,34628127,922439,140689,10666737,581125,Admin,,
2021-02-08,US,USA,United States,1431441,47304926,1550652,792421,35420548,937270,628943,11295680,600742,Admin,,
2021-02-09,US,USA,United States,1785132,49090058,1585422,973548,36394096,946973,801172,12096852,626446,Admin,,
2021-02-10,US,USA,United States,2099257,51189315,1605376,1152911,37547007,941089,936063,13032915,653402,Admin,,
2021-02-11,US,USA,United States,2180070,53369385,1611846,1185407,38732414,923546,983776,14016691,678125,Admin,,
2021-02-12,US,USA,United States,2348897,55718282,1636632,1284762,40017176,922946,1049321,15066012,703583,Admin,,
2021-02-13,US,USA,United States,1351989,57070271,1658215,809155,40826331,923289,533804,15599816,724824,Admin,,
2021-02-14,US,USA,United States,536938,57607209,1676246,324852,41151183,931865,210345,15810161,734775,Admin,,
2021-02-15,US,USA,United States,1063760,58670969,1623720,576653,41727836,901041,477969,16288130,713207,Admin,,
2021-02-16,US,USA,United States,1435807,60106776,1573817,732651,42460487,866627,694087,16982217,697909,Admin,,
2021-02-17,US,USA,United States,1793160,61899936,1530089,871577,43332064,826437,912889,17895106,694599,Admin,,
2021-02-18,US,USA,United States,1673265,63573201,1457688,772536,44104600,767455,891931,18787037,681478,Admin,,
2021-02-19,US,USA,United States,1778153,65351354,1376153,771134,44875734,694080,998645,19785682,674239,Admin,,
2021-02-20,US,USA,United States,1184250,66535604,1352190,557819,45433553,658175,621727,20407409,686799,Admin,,
2021-02-21,US,USA,United States,512011,67047615,1348629,226651,45660204,644146,283462,20690871,697244,Admin,,
2021-02-22,US,USA,United States,1304806,68352421,1383065,579117,46239321,644498,719972,21410843,731816,Admin,,
2021-02-23,US,USA,United States,1717782,70070203,1423347,798299,47037620,653876,912001,22322844,762947,Admin,,
2021-02-24,US,USA,United States,2206276,72276479,1482363,1129217,48166837,690682,1069017,23391861,785251,Admin,,
2021-02-25,US,USA,United States,2538403,74814882,1605954,1373946,49540783,776598,1150753,24542614,822225,Admin,,
2021-02-26,US,USA,United States,2690661,77505543,1736313,1491578,51032361,879518,1191064,25733678,849714,Admin,,
2021-02-27,US,USA,United States,1706793,79212336,1810962,997834,52030195,942377,703522,26437200,861399,Admin,,
2021-02-28,US,USA,United States,713980,79926316,1839814,465717,52495912,976530,245824,26683024,856022,Admin,,
2021-03-01,US,USA,United States,1546545,81472861,1874349,920795,53416707,1025341,621410,27304434,841942,Admin,,
2021-03-02,US,USA,United States,1722975,83195836,1875090,1049455,54466162,1061220,669365,27973799,807279,Admin,,
2021-03-03,US,USA,United States,1584547,84780383,1786272,947520,55413682,1035264,634052,28607851,745141,Admin,,
2021-03-04,US,USA,United States,227710,85008093,1456173,134014,55547696,858130,93350,28701201,594084,Admin,,
2021-03-05,US,USA,United States,1,85008094,1071793,1,55547697,645048,0,28701201,423932,Admin,,
2020-12-13,US,USA,United States,,,,,,,,,,Report,0,0
2020-12-14,US,USA,United States,,,,,,,,,,Report,509,255
2020-12-15,US,USA,United States,,,,,,,,,,Report,12129,4213
2020-12-16,US,USA,United States,,,,,,,,,,Report,38996,12909
2020-12-17,US,USA,United States,,,,,,,,,,Report,75708,25468
2020-12-18,US,USA,United States,,,,,,,,,,Report,126800,42357
2020-12-19,US,USA,United States,,,,,,,,,,Report,187508,63093
2020-12-20,US,USA,United States,,,,,,,,,,Report,209853,93072
2020-12-21,US,USA,United States,,,,,,,,,,Report,149957,114422
2020-12-22,US,USA,United States,,,,,,,,,,Report,189722,139792
2020-12-23,US,USA,United States,,,,,,,,,,Report,368173,186817
2020-12-24,US,USA,United States,,,,,,,,,,Report,338436,224350
2020-12-25,US,USA,United States,,,,,,,,,,Report,336145,254256
2020-12-26,US,USA,United States,,,,,,,,,,Report,156478,249823
2020-12-27,US,USA,United States,,,,,,,,,,Report,61992,228700
2020-12-28,US,USA,United States,,,,,,,,,,Report,156220,229595
2020-12-29,US,USA,United States,,,,,,,,,,Report,314677,247446
