Date,MMWR_week,Location,ShortName,LongName,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Census2019
2021-01-06,1,AK,AKA,Alaska,80300,20106,10977,2748,731545
2021-01-06,1,AL,ALA,Alabama,183900,43280,3751,883,4903185
2021-01-06,1,AR,ARA,Arkansas,170700,40899,5656,1355,3017804
2021-01-06,1,AS,ASA,American Samoa,8250,1022,14814,1835,55689
2021-01-06,1,AZ,AZA,Arizona,419175,75683,5759,1040,7278717
2021-01-06,1,BP2,BP2,Bureau of Prisons,12800,9391,0,0,0
2021-01-06,1,CA,CAA,California,2057375,486087,5207,1230,39512223
2021-01-06,1,CO,COA,Colorado,282400,122347,4904,2125,5758736
2021-01-06,1,CT,CTA,Connecticut,149900,93056,4204,2610,3565287
2021-01-06,1,DC,DCA,District of Columbia,35475,17475,5027,2476,705749
2021-01-06,1,DD2,DD2,Dept of Defense,290600,74961,0,0,0
2021-01-06,1,DE,DEA,Delaware,53650,14835,5510,1523,973764
2021-01-06,1,FL,FLA,Florida,1152000,339032,5364,1579,21477737
2021-01-06,1,FM,FMA,Federated States of Micronesia,9800,30,9456,29,103643
2021-01-06,1,GA,GAA,Georgia,514925,89695,4850,845,10617423
2021-01-06,1,GU,GUA,Guam,19300,3791,11643,2287,165768
2021-01-06,1,HI,HIA,Hawaii,82500,22896,5827,1617,1415872
2021-01-06,1,IA,IAA,Iowa,121475,66051,3850,2093,3155070
2021-01-06,1,ID,IDA,Idaho,81525,20848,4562,1167,1787065
2021-01-06,1,IH2,IH2,Indian Health Svc,176275,42841,0,0,0
2021-01-06,1,IL,ILA,Illinois,542200,189660,4279,1497,12671821
2021-01-06,1,IN,INA,Indiana,356025,111806,5288,1661,6732219
2021-01-06,1,KS,KSA,Kansas,131750,31938,4522,1096,2913314
2021-01-06,1,KY,KYA,Kentucky,174150,67673,3898,1515,4467673
2021-01-06,1,LA,LAA,Louisiana,230125,54973,4950,1183,4648794
2021-01-06,1,LTC,LTC,Long Term Care,3416875,511635,0,0,0
2021-01-06,1,MA,MAA,Massachusetts,329000,124450,4773,1806,6892503
2021-01-06,1,MD,MDA,Maryland,292450,87513,4837,1448,6045680
2021-01-06,1,ME,MEA,Maine,70150,34201,5219,2544,1344212
2021-01-06,1,MH,MHA,Marshall Islands,1200,0,2054,0,58413
2021-01-06,1,MI,MIA,Michigan,480750,124689,4814,1249,9986857
2021-01-06,1,MN,MNA,Minnesota,288850,97098,5122,1722,5639632
2021-01-06,1,MO,MOA,Missouri,294850,105173,4804,1714,6137428
2021-01-06,1,MP,MPA,Northern Mariana Islands,18650,3090,32787,5432,56882
2021-01-06,1,MS,MSA,Mississippi,98650,24386,3315,819,2976149
2021-01-06,1,MT,MTA,Montana,52450,24574,4907,2299,1068778
2021-01-06,1,NC,NCA,North Carolina,498450,137198,4753,1308,10488084
2021-01-06,1,ND,NDA,North Dakota,40825,23642,5357,3102,762062
2021-01-06,1,NE,NEA,Nebraska,90875,36753,4698,1900,1934408
2021-01-06,1,NH,NHA,New Hampshire,54650,33177,4019,2440,1359711
2021-01-06,1,NJ,NJA,New Jersey,406500,137586,4577,1549,8882190
2021-01-06,1,NM,NMA,New Mexico,106525,44766,5080,2135,2096829
2021-01-06,1,NV,NVA,Nevada,142525,36874,4627,1197,3080156
2021-01-06,1,NY,NYA,New York State,934925,311797,4806,1603,19453561
2021-01-06,1,OH,OHA,Ohio,359800,175681,3078,1503,11689100
2021-01-06,1,OK,OKA,Oklahoma,223050,72862,5637,1841,3956971
2021-01-06,1,OR,ORA,Oregon,227000,55247,5382,1310,4217737
2021-01-06,1,PA,PAA,Pennsylvania,656600,179354,5129,1401,12801989
2021-01-06,1,PR,PRA,Puerto Rico,194050,51071,6076,1599,3193694
2021-01-06,1,RI,RIA,Rhode Island,55600,25688,5248,2425,1059361
2021-01-06,1,RP,RPA,Republic of Palau,2800,120,15636,670,17907
2021-01-06,1,SC,SCA,South Carolina,146250,58044,2841,1127,5148714
2021-01-06,1,SD,SDA,South Dakota,45275,31267,5118,3534,884659
2021-01-06,1,TN,TNA,Tennessee,328500,166389,4810,2436,6829174
2021-01-06,1,TX,TXA,Texas,1375800,489003,4745,1686,28995881
2021-01-06,1,US,USA,United States,17288950,5306797,5208,1598,331996199
2021-01-06,1,UT,UTA,Utah,161825,56313,5048,1757,3205958
2021-01-06,1,VA,VAA,Virginia,481550,117240,5642,1374,8535519
2021-01-06,1,VA2,VA2,Veterans Health,617450,133450,0,0,0
2021-01-06,1,VI,VIA,Virgin Islands,7675,283,7332,270,104680
2021-01-06,1,VT,VTA,Vermont,37825,18740,6062,3003,623989
2021-01-06,1,WA,WAA,Washington,403500,104975,5299,1379,7614893
2021-01-06,1,WI,WIA,Wisconsin,266675,73213,4580,1257,5822434
2021-01-06,1,WV,WVA,West Virginia,126275,62154,7046,3468,1792147
2021-01-06,1,WY,WYA,Wyoming,32600,8360,5633,1444,578759
