Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-02-12,AK,AKA,Alaska,731545,271350,167436,37093,22888,118189,16156,48969,6694,16.2,6.7,,,
2021-02-12,AL,ALA,Alabama,4903185,936200,571115,19094,11648,448071,9138,122019,2489,9.3,2.6,,,
2021-02-12,AR,ARA,Arkansas,3017804,629900,447146,20873,14817,325562,10788,118465,3926,10.8,3.9,,,
2021-02-12,AS,ASA,American Samoa,55689,29450,15032,52883,26993,10057,18059,4968,8921,18.1,8.9,,,
2021-02-12,AZ,AZA,Arizona,7278717,1393475,990296,19145,13605,780057,10717,207912,2856,10.4,2.8,,,
2021-02-12,BP2,BP2,Bureau of Prisons,0,43775,45617,0,0,29060,0,16449,0,0,0,,,
2021-02-12,CA,CAA,California,39512223,7963575,5341104,20155,13518,4222810,10687,1081040,2736,10.7,2.7,,,
2021-02-12,CO,COA,Colorado,5758736,1204800,844620,20921,14667,586187,10179,254037,4411,10.2,4.4,,,
2021-02-12,CT,CTA,Connecticut,3565287,814525,626678,22846,17577,450204,12627,167894,4709,12.5,4.7,,,
2021-02-12,DC,DCA,District of Columbia,705749,193800,114110,27460,16169,80772,11445,33167,4700,7.8,2.4,,,
2021-02-12,DD2,DD2,Dept of Defense,0,1062500,701736,0,0,536578,0,154958,0,0,0,,,
2021-02-12,DE,DEA,Delaware,973764,188075,136591,19314,14027,108096,11101,27742,2849,10.8,2.7,,,
2021-02-12,FL,FLA,Florida,21477737,4332100,3216044,20170,14974,2235645,10409,962465,4481,10.2,4.4,,,
2021-02-12,FM,FMA,Federated States of Micronesia,103643,30000,8751,28946,8443,8270,7979,453,437,8.1,0.5,,,
2021-02-12,GA,GAA,Georgia,10617423,2017525,1273015,19002,11990,967179,9109,279546,2633,9,2.7,,,
2021-02-12,GU,GUA,Guam,165768,51300,35917,30947,21667,26699,16106,8955,5402,16.1,5.4,,,
2021-02-12,HI,HIA,Hawaii,1415872,310200,208807,21909,14748,154828,10935,53976,3812,11,3.8,,,
2021-02-12,IA,IAA,Iowa,3155070,590900,408578,18729,12950,299032,9478,104622,3316,9.5,3.3,,,
2021-02-12,ID,IDA,Idaho,1787065,320800,214063,17951,11978,159796,8942,43231,2419,9.1,2.5,,,
2021-02-12,IH2,IH2,Indian Health Svc,0,679950,346969,0,0,251445,0,90005,0,0,0,,,
2021-02-12,IL,ILA,Illinois,12671821,2481075,1674988,19579,13218,1294565,10216,348826,2753,10.3,2.8,,,
2021-02-12,IN,INA,Indiana,6732219,1360125,873568,20203,12976,659495,9796,213259,3168,9.8,3.2,,,
2021-02-12,KS,KSA,Kansas,2913314,581975,350741,19976,12039,261332,8970,86597,2972,9.4,3.2,,,
2021-02-12,KY,KYA,Kentucky,4467673,882400,636518,19751,14247,468357,10483,165324,3700,10.9,3.8,,,
2021-02-12,LA,LAA,Louisiana,4648794,894850,701110,19249,15082,482025,10369,217681,4683,10.2,4.6,,,
2021-02-12,MA,MAA,Massachusetts,6892503,1499450,962711,21755,13968,741746,10762,218795,3174,10.7,3.2,,,
2021-02-12,MD,MDA,Maryland,6045680,1188700,778790,19662,12882,580112,9595,197848,3273,9.9,3.4,,,
2021-02-12,ME,MEA,Maine,1344212,299375,193246,22271,14376,141778,10547,49721,3699,10.7,3.8,,,
2021-02-12,MH,MHA,Marshall Islands,58413,21000,5609,35951,9602,4980,8525,590,1010,8.5,1,,,
2021-02-12,MI,MIA,Michigan,9986857,1896800,1465627,18993,14676,1023114,10245,425663,4262,10.4,4.3,,,
2021-02-12,MN,MNA,Minnesota,5639632,1129850,787006,20034,13955,595334,10556,188872,3349,10.6,3.3,,,
2021-02-12,MO,MOA,Missouri,6137428,1116475,717483,18191,11690,537256,8754,172953,2818,8.5,2.7,,,
2021-02-12,MP,MPA,Northern Mariana Islands,56882,29650,12971,52125,22803,8497,14938,4465,7850,14.9,7.8,,,
2021-02-12,MS,MSA,Mississippi,2976149,609025,386333,20464,12981,296066,9948,89697,3014,10,3.1,,,
