Date,Location,ShortName,LongName,Census2019,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Dose1,Administered_Dose1_Per_100K,Administered_Dose2,Administered_Dose2_Per_100K,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,date_type,Recip_Administered,Administered_Dose1_Recip,Administered_Dose2_Recip,Administered_Dose1_Recip_18Plus,Administered_Dose2_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_Dose2_Recip_18PlusPop_Pct,Census2019_18PlusPop,Distributed_Per_100k_18Plus,Administered_18Plus,Admin_Per_100k_18Plus,Administered_Moderna,Administered_Pfizer,Administered_Unk_Manuf
2021-03-01,AK,AKA,Alaska,731545,342535,268406,46824,36690,167759,22932,100024,13673,23,13.7,Report,268637,168069,99916,167175,99473,30.3,18,551562,62103,267067,48420,,,
2021-03-01,AL,ALA,Alabama,4903185,1402280,948393,28599,19342,637989,13012,308416,6290,13.3,6.4,Report,971485,653309,316073,653079,316051,17.1,8.3,3814879,36758,948146,24854,,,
2021-03-01,AR,ARA,Arkansas,3017804,892660,661572,29580,21922,424534,14068,233135,7725,14.1,7.7,Report,663178,425567,233685,425391,233648,18.4,10.1,2317649,38516,661364,28536,,,
2021-03-01,AS,ASA,American Samoa,55689,29450,20338,52883,36521,12276,22044,8037,14432,22.2,14.5,Report,20460,12355,8080,12173,7995,28,18.4,43437,67799,20071,46207,,,
2021-03-01,AZ,AZA,Arizona,7278717,2148015,1849259,29511,25406,1275068,17518,566500,7783,17.1,7.6,Report,1808630,1244879,555881,1243096,555467,22,9.9,5638481,38096,1846750,32753,,,
2021-03-01,BP2,BP2,Bureau of Prisons,0,57155,60283,0,0,36995,0,23057,0,0,0,Report,60283,36995,23057,36993,23056,0,0,0,0,60280,0,,,
2021-03-01,CA,CAA,California,39512223,11587650,9106077,29327,23046,6304718,15956,2744770,6947,15.9,6.9,Report,9091366,6294258,2740495,6290539,2739585,20.5,8.9,30617582,37846,9101381,29726,,,
2021-03-01,CO,COA,Colorado,5758736,1700660,1412910,29532,24535,925066,16064,479662,8329,16.1,8.3,Report,1412808,924947,479652,924546,479531,20.5,10.7,4499217,37799,1412387,31392,,,
2021-03-01,CT,CTA,Connecticut,3565287,1198495,1031305,33616,28926,715456,20067,305226,8561,20,8.6,Report,1029406,712375,306075,711598,305818,25.1,10.8,2837847,42233,1030188,36302,,,
2021-03-01,DC,DCA,District of Columbia,705749,284655,198047,40334,28062,129157,18301,68370,9688,12,5.8,Report,126332,84724,41210,84717,41209,14.7,7.1,577581,49284,198034,34287,,,
2021-03-01,DD2,DD2,Dept of Defense,0,1434935,995054,0,0,680202,0,304072,0,0,0,Report,995054,680202,304072,679962,304041,0,0,0,0,994783,0,,,
2021-03-01,DE,DEA,Delaware,973764,291815,225374,29968,23145,148491,15249,75909,7795,15,7.6,Report,220293,145722,73675,145669,73660,18.9,9.6,770192,37889,225304,29253,,,
2021-03-01,FL,FLA,Florida,21477737,6313355,5047960,29395,23503,3225973,15020,1787511,8323,14.7,8.2,Report,4962701,3166839,1761444,3163741,1761107,18.3,10.2,17247808,36604,5044463,29247,,,
2021-03-01,FM,FMA,Federated States of Micronesia,103643,30000,15022,28946,14494,10516,10146,4403,4248,10.3,4.3,Report,15167,10628,4434,10624,4434,13.1,5.5,80842,37109,15018,18577,,,
