Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Admin_Dose_2_Daily,Admin_Dose_2_Cumulative,Admin_Dose_2_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,12845,12845,12845,11321,11321,11321,1355,1355,1355,1461,1461,1461,Admin,,
2020-12-14,US,USA,United States,3836,16681,8340,3708,15029,7515,5,1360,680,29,1490,745,Admin,,
2020-12-15,US,USA,United States,49523,66204,22068,46052,61081,20360,27,1387,462,52,1542,514,Admin,,
2020-12-16,US,USA,United States,159926,226130,56532,152982,214063,53516,208,1595,399,235,1777,444,Admin,,
2020-12-17,US,USA,United States,272917,499047,99809,261846,475909,95182,514,2109,422,537,2314,462,Admin,,
2020-12-18,US,USA,United States,415612,914659,152443,403697,879606,146601,658,2767,461,662,2976,496,Admin,,
2020-12-19,US,USA,United States,181224,1095883,156554,176322,1055928,150847,781,3548,507,783,3759,537,Admin,,
2020-12-20,US,USA,United States,103741,1199624,169539,101373,1157301,163711,526,4074,388,564,4323,408,Admin,,
2020-12-21,US,USA,United States,379398,1579022,223191,370684,1527985,216137,879,4953,513,884,5207,531,Admin,,
2020-12-22,US,USA,United States,445783,2024805,279800,436272,1964257,271882,2127,7080,813,2138,7345,829,Admin,,
2020-12-23,US,USA,United States,566429,2591234,337872,554069,2518326,329180,1746,8826,1033,1752,9097,1045,Admin,,
2020-12-24,US,USA,United States,193812,2785046,326571,188168,2706494,318655,896,9722,1088,899,9996,1097,Admin,,
2020-12-25,US,USA,United States,12159,2797205,268935,12044,2718538,262705,57,9779,1002,57,10053,1011,Admin,,
2020-12-26,US,USA,United States,138037,2935242,262765,135426,2853964,256862,399,10178,947,402,10455,956,Admin,,
2020-12-27,US,USA,United States,93047,3028289,261237,91010,2944974,255382,360,10538,923,407,10862,934,Admin,,
2020-12-28,US,USA,United States,577509,3605798,289539,562947,3507921,282848,2469,13007,1151,2476,13338,1161,Admin,,
2020-12-29,US,USA,United States,706755,4312553,326821,684418,4192339,318297,3798,16805,1389,3806,17144,1399,Admin,,
2020-12-30,US,USA,United States,826382,5138935,363957,802271,4994610,353755,5969,22774,1993,5975,23119,2003,Admin,,
2020-12-31,US,USA,United States,414547,5553482,395490,402505,5397115,384374,2340,25114,2199,2342,25461,2209,Admin,,
2021-01-01,US,USA,United States,50567,5604049,400977,47619,5444734,389457,2102,27216,2491,2235,27696,2520,Admin,,
2021-01-02,US,USA,United States,250935,5854984,417106,243749,5688483,404931,2416,29632,2779,2425,30121,2809,Admin,,
2021-01-03,US,USA,United States,130232,5985216,422418,123847,5812330,409622,2190,31822,3041,2192,32313,3064,Admin,,
2021-01-04,US,USA,United States,632023,6617239,430205,576308,6388638,411531,42702,74524,8788,42726,75039,8814,Admin,,
2021-01-05,US,USA,United States,797873,7415112,443222,701485,7090123,413969,82895,157419,20088,82918,157957,20116,Admin,,
