Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-08-01,US,USA,United States,331996199,Report,400674525,346456669,120686,104356,139105757,193596180,13446195,308537,191498983,57.7,45.6,180548961,69.9,327141372,126671,155144,49218633,90,92351396,168843,732540,151494286,143311434,55.5,165307000,213863775,21484400,19350,63473318,87928222,13268607,87276,63086628,80022448,13175696,86072,20872794,20805457,2112594,38007,164757423,49.6,156370844,60.5,43828853,80.1,92351396,283545812,346105745,122063,141309,191275241,67.5,151368359,53.4,164627591,58.1,63469602,87804891,13265867,87231,346105745,24,,,,
2021-08-01,AK,AKA,Alaska,731545,Report,854805,697509,116849,95347,289141,379743,28444,181,376948,51.5,41.9,352364,63.9,653939,118561,154979,75871,82.8,143062,156202,933315,306730,287851,52.2,366220,429285,59300,0,133848,172838,26396,44,133479,154331,26271,41,40126,28605,2639,22,333126,45.5,314122,57,71392,77.9,136652,608877,695435,114216,140390,375669,61.7,305939,50.2,332333,54.6,133844,172051,26394,44,652628,,,,,
2021-08-01,AL,ALA,Alabama,4903185,Report,5159890,3603940,105235,73502,1651126,1831642,121168,4,2130105,43.4,31.9,2054871,53.9,3490319,91492,135257,688448,81,1223295,143945,607162,1563406,1523227,39.9,2372900,2505690,281300,0,744914,818273,123998,219,744639,778369,123934,219,312008,246601,32125,138,1687404,34.4,1647161,43.2,590872,69.5,1178439,4186880,3603615,86069,123240,2129777,50.9,1563374,37.3,1687366,40.3,744903,818252,123992,219,3467928,,,,,
2021-08-01,AR,ARA,Arkansas,3017804,Report,3046510,2455566,100951,81369,1124548,1244498,85856,664,1422822,47.1,33.7,1348483,58.2,2339381,100938,131448,421241,80.4,764443,145919,581526,1017145,975463,42.1,1397640,1469970,178900,0,494545,522416,83990,184,493555,481737,83530,171,203497,135817,12952,103,1101135,36.5,1058993,45.7,352369,67.3,728734,2557248,2450540,95827,119132,1419171,55.5,1015826,39.7,1099701,43,494538,521105,83875,183,2370629,,,,,
2021-08-01,AS,ASA,American Samoa,55689,Report,55830,51967,100253,93316,12842,38580,545,0,28922,51.9,41.6,25596,59,46792,107878,128715,2757,29.2,5159,54674,591670,23150,21310,49.1,15600,39630,600,0,5825,17325,550,0,5812,15498,549,0,1023,1452,25,0,23700,42.6,21859,50.4,2500,26.5,5159,47557,51957,109252,117396,28914,60.8,23148,48.7,23698,49.8,5824,17324,550,0,51957,,,,,
2021-08-01,AZ,AZA,Arizona,7278717,Report,8577780,7113311,117847,97728,2987505,3861308,255422,9076,3871294,53.2,41.9,3649665,64.7,6716972,119127,152129,1125821,86,2148802,164202,655476,3052393,2886905,51.2,3564280,4582500,431000,0,1324530,1724903,246500,2960,1324093,1559878,246144,2934,481742,448748,42271,1594,3298893,45.3,3133049,55.6,974355,74.5,2016695,6206060,7112446,114605,138216,3870515,62.4,3052286,49.2,3298556,53.2,1324509,1724818,246270,2959,6659780,,,,,
2021-08-01,BP2,BP2,Bureau of Prisons,0,Report,212310,201062,0,0,82720,109080,9262,0,109034,0,0,109033,0,201061,0,0,3384,0,6473,0,0,90927,90927,0,88940,112770,10600,0,39432,51495,9209,0,39432,51495,9209,0,1535,1513,121,0,100136,0,100136,0,3169,0,6473,0,201061,0,0,109033,0,90927,0,100136,0,39432,51495,9209,0,201061,,,,,
2021-08-01,CA,CAA,California,39512223,Report,51018395,45274447,129121,114583,18034046,25560358,1671368,8675,25684580,65,48.8,23982413,78.3,42265341,138043,166631,5597017,95.9,10040233,171977,873885,19280729,17978073,58.7,20746000,27656595,2615800,0,7982324,11295712,1655588,2693,7957485,10018088,1648374,2500,2301954,2040325,167127,939,20936317,53,19626447,64.1,4510345,77.3,9776740,33646265,45146962,134181,151632,25605777,76.1,19232625,57.2,20887896,62.1,7981904,11248034,1655271,2687,44298278,,,,,
2021-08-01,CO,COA,Colorado,5758736,Report,7263185,6484050,126125,112595,2658061,3587196,234887,3906,3477989,60.4,50.5,3245516,72.1,6059136,134671,161432,746354,88.6,1436147,170480,862189,2907269,2716438,60.4,2985760,3937125,340300,0,1244782,1661268,230924,1219,1241214,1474035,229815,1189,335328,322815,21281,407,3138193,54.5,2946253,65.5,679831,80.7,1393351,4936061,6464257,130960,147145,3466293,70.2,2899331,58.7,3130234,63.4,1244769,1653343,230903,1219,6271676,,,,,
2021-08-01,CT,CTA,Connecticut,3565287,Report,4940555,4599836,138574,129017,1754480,2658595,186115,646,2496708,70,58.2,2329437,82.1,4291447,151222,174095,606699,96.3,1170965,185796,783911,2073834,1937413,68.3,2020000,2670555,250000,0,831357,1242257,185338,220,830983,1106251,185190,179,224596,324616,18877,52,2259172,63.4,2122603,74.8,568141,90.1,1141329,3105947,4598199,148045,159068,2495445,80.3,2073461,66.8,2258723,72.7,831151,1242090,185262,220,4519716,,,,,
