Date,Location,ShortName,LongName,Census2019,date_type,Doses_Distributed,Doses_Administered,Dist_Per_100K,Admin_Per_100K,Administered_Moderna,Administered_Pfizer,Administered_Janssen,Administered_Unk_Manuf,Administered_Dose1_Recip,Administered_Dose1_Pop_Pct,Administered_Dose2_Pop_Pct,Administered_Dose1_Recip_18Plus,Administered_Dose1_Recip_18PlusPop_Pct,Administered_18Plus,Admin_Per_100k_18Plus,Distributed_Per_100k_18Plus,Administered_Dose1_Recip_65Plus,Administered_Dose1_Recip_65PlusPop_Pct,Administered_65Plus,Admin_Per_100k_65Plus,Distributed_Per_100k_65Plus,Administered_Dose2_Recip,Administered_Dose2_Recip_18Plus,Administered_Dose2_Recip_18PlusPop_Pct,Distributed_Moderna,Distributed_Pfizer,Distributed_Janssen,Distributed_Unk_Manuf,Series_Complete_Moderna,Series_Complete_Pfizer,Series_Complete_Janssen,Series_Complete_Unk_Manuf,Series_Complete_Moderna_18Plus,Series_Complete_Pfizer_18Plus,Series_Complete_Janssen_18Plus,Series_Complete_Unk_Manuf_18Plus,Series_Complete_Moderna_65Plus,Series_Complete_Pfizer_65Plus,Series_Complete_Janssen_65Plus,Series_Complete_Unk_Manuf_65Plus,Series_Complete_Yes,Series_Complete_Pop_Pct,Series_Complete_18Plus,Series_Complete_18PlusPop_Pct,Series_Complete_65Plus,Series_Complete_65PlusPop_Pct,Administered_65Plus_Entity,Census2019_12PlusPop,Administered_12Plus,Admin_Per_100k_12Plus,Distributed_Per_100k_12Plus,Administered_Dose1_Recip_12Plus,Administered_Dose1_Recip_12PlusPop_Pct,Administered_Dose2_Recip_12Plus,Administered_Dose2_Recip_12PlusPop_Pct,Series_Complete_12Plus,Series_Complete_12PlusPop_Pct,Series_Complete_Moderna_12Plus,Series_Complete_Pfizer_12Plus,Series_Complete_Janssen_12Plus,Series_Complete_Unk_Manuf_12Plus,Administered_12Plus_Entity,Count_70pct_vacc,additional_doses,Additional_Doses_Vax_Pct,Additional_Doses_50Plus,Additional_Doses_50Plus_Vax_Pct,Additional_Doses_18Plus,Additional_Doses_18Plus_Vax_Pct,Additional_Doses_65Plus,Additional_Doses_65Plus_Vax_Pct,Additional_Doses_Moderna,Additional_Doses_Pfizer,Additional_Doses_Janssen,Additional_Doses_Unk_Manuf,Administered_Fed_LTC,Administered_Fed_LTC_Dose1,Administered_Fed_LTC_Dose2,Series_Complete_FedLTC
2021-10-01,US,USA,United States,331996199,Report,477069555,393756866,143697,118603,151622624,226714560,15022960,396722,214597690,64.6,51.2,199954144,77.4,367121815,142152,184725,51377618,93.9,99308479,181562,872211,170140082,158287822,61.3,189436700,264680205,22933300,19350,68524278,101414770,14804442,108926,68445825,89643870,14777209,106807,21840202,21566756,2167967,47518,184852416,55.7,172973711,67,45622443,83.4,99308479,283545812,393393042,138741,168251,214365675,75.6,170010718,60,184720020,65.1,68520852,101288923,14801389,108856,393393042,39,4363791,2.4,3638930,3.9,4345680,2.5,2736068,6,1329639,3023065,7775,3312,,,,
2021-10-01,AK,AKA,Alaska,731545,Report,1062155,794992,145193,108673,313826,446407,34268,491,419730,57.4,46.4,388496,70.4,737333,133681,192572,78970,86.2,156104,170442,1159710,339169,313347,56.8,426800,568155,67200,0,141918,196959,31940,66,141531,171532,31805,61,41119,29799,3077,28,370883,50.7,344929,62.5,74023,80.8,149224,608877,792770,130202,174445,418387,68.7,338306,55.6,370018,60.8,141914,196100,31938,66,739334,,,,,,,,,,,,,,,,,
2021-10-01,AL,ALA,Alabama,4903185,Report,6709370,4534772,136837,92486,2000916,2395734,138057,65,2584258,52.7,39.8,2448789,64.2,4301392,112753,175874,734553,86.4,1358274,159828,789489,1951656,1853761,48.6,3013740,3390930,304700,0,896091,1054115,140207,393,895671,956642,140128,392,337577,265008,34369,257,2090806,42.6,1992833,52.2,637211,75,1311253,4186880,4534356,108299,160247,2583865,61.7,1951599,46.6,2090742,49.9,896080,1054069,140200,393,4383933,,,,,,,,,,,,,,,,,
2021-10-01,AR,ARA,Arkansas,3017804,Report,4092870,3028330,135624,100349,1308961,1617822,98731,2816,1683950,55.8,42.5,1567158,67.6,2821162,121725,176596,447754,85.5,844690,161237,781258,1282642,1193250,51.5,1791740,2108430,192700,0,588613,692695,96862,701,587552,604420,96351,676,216928,150954,14134,403,1378871,45.7,1288999,55.6,382419,73,807272,2557248,3023093,118217,160050,1680140,65.7,1281273,50.1,1377385,53.9,588605,691336,96745,699,2934876,,,,,,,,,,,,,,,,,
2021-10-01,AS,ASA,American Samoa,55689,Report,66550,62461,119503,112160,16414,45500,546,1,34269,61.5,50.7,28512,65.7,52050,120000,153429,2872,30.4,5366,56867,705278,28211,23592,54.4,16600,49350,600,0,7243,20966,554,0,7228,16362,553,0,1082,1482,25,0,28763,51.6,24143,55.7,2589,27.4,5366,47557,62444,131303,139937,34259,72,28204,59.3,28756,60.5,7242,20960,554,0,62444,,,,,,,,,,,,,,,,,
2021-10-01,AZ,AZA,Arizona,7278717,Report,9938490,8230420,136542,113075,3344322,4582925,289372,13801,4320252,59.4,47.3,4017746,71.3,7668225,135998,176262,1164837,89,2358637,180237,759456,3445088,3198648,56.7,4055600,5427690,455200,0,1453160,1985679,279726,4146,1452587,1739872,279318,4098,499460,472078,45817,2210,3722711,51.1,3475875,61.6,1019565,77.9,2220085,6206060,8229330,132602,160142,4319305,69.6,3444942,55.5,3722331,60,1453135,1985560,279491,4145,7721844,,,,,,,,,,,,,,,,,
2021-10-01,BP2,BP2,Bureau of Prisons,0,Report,249610,228490,0,0,91963,124920,11607,0,122374,0,0,122372,0,228488,0,0,3536,0,6912,0,0,105482,105482,0,107840,129870,11900,0,44563,60869,11577,0,44563,60869,11576,0,1670,1647,168,0,117009,0,117008,0,3485,0,6912,0,228488,0,0,122372,0,105482,0,117008,0,44563,60869,11576,0,228488,,,,,,,,,,,,,,,,,
2021-10-01,CA,CAA,California,39512223,Report,58650995,50718669,148438,128362,19404931,29441547,1858946,13245,28371516,71.8,54.4,26208369,85.6,46806530,152875,191560,5828656,99.8,10763014,184358,1004620,21496266,19754714,64.5,22595620,33300675,2754700,0,8544848,12930422,1846152,3960,8519475,11214586,1838677,3701,2383753,2142397,184635,1254,23325382,59,21576439,70.5,4712039,80.7,10488681,33646265,50589003,150355,174317,28290986,84.1,21447728,63.7,23276496,69.2,8544419,12882325,1845801,3951,49639413,,,,,,,,,,,,,,,,,
2021-10-01,CO,COA,Colorado,5758736,Report,8216005,7189708,142670,124849,2836455,4079296,268939,5018,3780734,65.7,54.9,3503124,77.9,6667792,148199,182610,769604,91.4,1557265,184858,975295,3161644,2920162,64.9,3285240,4560465,370300,0,1306183,1851429,264284,1473,1302537,1613696,263090,1420,342583,337218,23911,515,3423369,59.4,3180743,70.7,704227,83.6,1512366,4936061,7169580,145249,166449,3768884,76.4,3153556,63.9,3415257,69.2,1306166,1843359,264260,1472,6949479,,,,,,,,,,,,,,,,,
2021-10-01,CT,CTA,Connecticut,3565287,Report,5635615,5054683,158069,141775,1868268,2980061,205397,957,2723058,76.4,63.1,2517724,88.7,4670245,164570,198588,629335,99.9,1243344,197280,894196,2250110,2075709,73.1,2277120,3093195,265300,0,877220,1371659,204576,336,876831,1197737,204402,259,229428,331827,20427,71,2453791,68.8,2279229,80.3,581753,92.3,1212206,3105947,5052953,162686,181446,2721724,87.6,2249718,72.4,2453319,79,877015,1371475,204496,333,4969210,,,,,,,,,,,,,,,,,
