Date,Location,ShortName,LongName,Administered_Daily,Administered_Cumulative,Administered_7_Day_Rolling_Average,Admin_Dose_1_Daily,Admin_Dose_1_Cumulative,Admin_Dose_1_Day_Rolling_Average,Series_Complete_Daily,Series_Complete_Cumulative,Series_Complete_Day_Rolling_Average,date_type,Administered_daily_change_report,Administered_daily_change_report_7dayroll
2020-12-13,US,USA,United States,21937,21937,21937,18646,18646,18646,3903,3903,3903,Admin,,
2020-12-14,US,USA,United States,4331,26268,13134,4194,22840,11420,96,3999,1999,Admin,,
2020-12-15,US,USA,United States,48740,75008,25002,46541,69381,23127,210,4209,1403,Admin,,
2020-12-16,US,USA,United States,158840,233848,58462,153407,222788,55697,389,4598,1149,Admin,,
2020-12-17,US,USA,United States,270567,504415,100883,263530,486318,97264,570,5168,1033,Admin,,
2020-12-18,US,USA,United States,413059,917474,152912,404514,890832,148472,968,6136,1022,Admin,,
2020-12-19,US,USA,United States,180697,1098171,156881,176941,1067773,152539,939,7075,1010,Admin,,
2020-12-20,US,USA,United States,104201,1202372,168633,102349,1170122,164497,653,7728,546,Admin,,
2020-12-21,US,USA,United States,380432,1582804,222362,374125,1544247,217344,1092,8820,688,Admin,,
2020-12-22,US,USA,United States,448162,2030966,279422,439826,1984073,273527,2314,11134,989,Admin,,
2020-12-23,US,USA,United States,571689,2602655,338401,560418,2544491,331672,1983,13117,1217,Admin,,
2020-12-24,US,USA,United States,195492,2798147,327676,190668,2735159,321263,904,14021,1264,Admin,,
2020-12-25,US,USA,United States,12565,2810712,270462,12430,2747589,265251,88,14109,1139,Admin,,
2020-12-26,US,USA,United States,140780,2951492,264760,137913,2885502,259676,606,14715,1091,Admin,,
2020-12-27,US,USA,United States,96310,3047802,263632,93490,2978992,258410,556,15271,1077,Admin,,
2020-12-28,US,USA,United States,586204,3634006,293028,574470,3553462,287031,2752,18023,1314,Admin,,
2020-12-29,US,USA,United States,716383,4350389,331346,699573,4253035,324137,4020,22043,1558,Admin,,
2020-12-30,US,USA,United States,836817,5187206,369221,820364,5073399,361273,5823,27866,2107,Admin,,
2020-12-31,US,USA,United States,420096,5607302,401307,411655,5485054,392842,2617,30483,2351,Admin,,
2021-01-01,US,USA,United States,85052,5692354,411663,78273,5563327,402248,5344,35827,3102,Admin,,
2021-01-02,US,USA,United States,260959,5953313,428831,252396,5815723,418603,2577,38404,3384,Admin,,
2021-01-03,US,USA,United States,136533,6089846,434577,129490,5945213,423746,2278,40682,3630,Admin,,
2021-01-04,US,USA,United States,650393,6740239,443747,592779,6537992,426361,44732,85414,9627,Admin,,
2021-01-05,US,USA,United States,823809,7564048,459094,724545,7262537,429929,87169,172583,21505,Admin,,
